year,value,low,high
1985,1.0,1.0,1.0
1986,0.97032633928338,0.919237304429664,1.04615201782805
1987,0.942999747486336,0.873915460452152,1.02625497115204
1988,0.918605675972922,0.846221349657878,1.00959631080477
1989,0.899087573124475,0.821645854918954,0.996822363585319
1990,0.871831520964279,0.789284302693438,0.975567453540924
1991,0.831648514116013,0.751046803243165,0.936625674555543
1992,0.798900019213251,0.717621896407559,0.896172433735038
1993,0.803627947629337,0.712184540099543,0.918860744003804
1994,0.781476070575879,0.659457528975027,0.95603291368217
1995,0.772759682932339,0.623842029995919,0.985631139516476
1996,0.749597672258662,0.592967075898016,0.968323341056968
1997,0.652909308380762,0.493438125238458,0.863146069745763
1998,0.583303435898063,0.373862805295019,0.829412398632989
1999,0.568531435240478,0.343968999064909,0.913788676720078
2000,0.515569129088549,0.294573401879445,0.898466362038505
2001,0.397115082006025,0.225849764990151,0.691346543616019
2002,0.292097902315946,0.1528548412451,0.540799074348338
2003,0.243125174226076,0.127113546043664,0.466831331689097
2004,0.217576993044792,0.109333828700962,0.437865633277949
2005,0.1578617590982,0.0767013793055287,0.33166420833031
2006,0.129576170958779,0.0612491070662009,0.273487905007902
2007,0.110439224214336,0.0512745400171663,0.241355453276579
2008,0.102661082908691,0.0467563773167435,0.229317278400253
2009,0.103123768399575,0.0460235373952402,0.222191639895002
2010,0.0981908105547349,0.0451314642490388,0.216257573085627
2011,0.0942751134253135,0.0430210327268006,0.208322176157294
2012,0.0901521226319944,0.040025703661289,0.201678196113852
2013,0.0880090642525827,0.0388039629536967,0.202907543376157
2014,0.0864671188564213,0.0369709939008927,0.205552946269843
2015,0.0850929301803269,0.0358184752526411,0.199114917132327
2016,0.0855825365762485,0.0368708430978518,0.19983046769177
2017,0.075340124050298,0.0313855264278766,0.183935232844031
2018,0.0728211135314832,0.0296556942817853,0.172861074352668
2019,0.096668089864745,0.0355870470911406,0.251827164135508
2020,0.0781631812231701,0.0281074317243242,0.206445026358037
2021,0.0703378913145246,0.0251032225669061,0.189647022483171
2022,0.0601015097193502,0.0209670290034912,0.162396067218745
